Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-4070.9830963534673,0.015,0.015848931924611134,4.7,0.265,0.235,0.97,0.95,0.92,0.9,0.08,0.6,0.0,10.0,0.7,0.65,0.25,6.0,1.3
2.0,-3725.876950437679,0.0325,0.003981071705534973,3.7,0.565,0.45,0.96,0.95,0.95,0.9,0.06,0.6,0.0,11.0,0.75,0.85,0.4,5.8,1.3
3.0,-3830.0988394196092,0.04,0.015848931924611134,3.9,0.295,0.355,0.96,0.95,0.98,0.85,0.02,0.7,0.0,3.0,0.75,0.6,0.3,6.0,1.3
