Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,beta_R_2
1.0,-4106.045588736278,0.02,0.01,14.9,0.12,0.035,0.98,0.65,0.91,0.8,0.06,0.9,3.75,4.5
2.0,-3744.350419162399,0.0325,0.00630957344480193,14.9,0.095,0.045,0.97,0.7,0.94,0.85,0.06,0.6,4.25,4.9
3.0,-3884.483450784206,0.0175,0.015848931924611134,14.9,0.13,0.07,0.97,0.55,0.93,1.0,0.06,0.9,3.0,4.5
