Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,beta_R_2
1.0,-4107.872122002689,0.03,0.015848931924611134,14.9,0.135,0.035,0.98,0.65,0.92,0.7,0.04,0.8,3.75,5.1
2.0,-3746.138738653483,0.06,1.0e-12,14.9,0.11,0.06,0.98,0.65,0.93,0.85,0.04,0.5,3.75,4.9
3.0,-3890.911391338858,0.0225,0.01,14.9,0.135,0.075,0.99,0.8,0.93,0.65,0.04,0.85,7.25,3.9
