Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-4065.6157953170327,0.3,0.0025118864315095794,6.1,0.11,0.155,0.97,0.65,0.87,1.0,0.12,0.75,7.0,0.65,0.2,0.15,4.7,2.1
2.0,-3731.913295124284,0.3,0.01,6.1,0.105,0.205,0.97,0.75,0.91,0.7,0.1,1.25,10.0,0.6,0.25,0.1,5.2,2.3
3.0,-3854.835566634462,0.3,0.00039810717055349735,5.5,0.125,0.135,0.96,0.75,0.9,0.7,0.12,2.25,11.0,0.7,0.25,0.2,4.7,1.9
