Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-4006.173067358667,0.0075,0.001,5.7,0.115,0.195,0.96,0.7,0.96,0.75,0.08,0.6,2.0,10.0,0.65,0.35,0.15,4.8,1.9
2.0,-3668.5934108343185,0.03,0.000630957344480193,5.5,0.1,0.1,0.96,0.8,0.96,0.85,0.06,0.4,2.5,6.0,0.8,0.25,0.25,4.6,1.9
3.0,-3775.556381235798,0.0175,0.00015848931924611142,6.3,0.105,0.135,0.95,0.7,0.96,0.9,0.08,0.5,2.25,11.0,0.8,0.3,0.25,4.1,1.9
