Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-4074.8967751455157,0.05,0.015848931924611134,5.3,0.19,0.13,0.96,0.95,0.9,0.9,0.08,0.5,0.25,7.0,0.6,0.55,0.25,4.3,2.1
2.0,-3737.9457049728353,0.0175,0.039810717055349734,9.5,0.49,0.115,0.96,0.95,0.98,0.65,0.04,0.6,0.0,14.0,0.8,0.85,0.55,2.9,3.7
3.0,-3863.680971802714,0.0175,0.00630957344480193,5.3,0.32,0.225,0.94,0.95,0.95,0.9,0.1,0.65,0.0,11.0,0.8,0.8,0.3,4.5,1.7
