Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-4013.424438537806,0.005,6.309573444801943e-9,8.1,0.11,0.135,0.97,0.65,0.89,0.85,0.12,0.65,2.0,10.0,0.75,0.45,0.3,2.3,2.5
2.0,-3668.035677305472,0.015,3.9810717055349695e-12,7.5,0.1,0.125,0.97,0.7,0.94,0.95,0.08,0.4,2.75,10.0,0.75,0.4,0.3,3.1,2.5
3.0,-3777.6463641163186,0.115,0.003981071705534973,6.7,0.11,0.115,0.94,0.8,0.97,0.7,0.02,0.45,0.25,15.0,0.85,0.25,0.2,2.7,2.9
