LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
-4681.928052662769,0.015,0.000630957344480193,8.5,0.105,0.095,0.97,0.65,0.95,1.0,0.06,0.35,0.25,10.0,0.75,0.3,0.25,2.8,3.7
-4683.5387451164615,0.025,0.000630957344480193,6.3,0.11,0.13,0.98,0.7,0.92,1.0,0.06,0.35,4.0,10.0,0.7,0.4,0.25,4.3,2.5
-4684.630052348801,0.02,0.001,5.9,0.095,0.15,0.97,0.8,0.92,0.85,0.08,0.4,5.0,10.0,0.65,0.3,0.15,4.6,2.3
-4685.032532527541,0.0225,0.000630957344480193,10.5,0.07,0.095,0.98,0.75,0.91,0.85,0.06,0.35,3.0,10.0,0.85,0.4,0.3,3.1,3.1
-4685.078111645937,0.0375,0.001,4.5,0.16,0.075,0.98,0.7,0.91,0.85,0.06,0.35,0.0,10.0,0.6,0.15,0.25,5.8,2.1
-4685.143123519435,0.0225,0.000630957344480193,6.1,0.13,0.115,0.98,0.6,0.92,0.95,0.06,0.3,1.25,10.0,0.7,0.3,0.25,4.6,2.7
-4685.765340208235,0.0475,1.584893192461114e-7,4.1,0.16,0.1,0.95,0.75,0.95,0.8,0.06,0.4,1.25,11.0,0.6,0.15,0.2,6.0,1.9
-4686.1410336272365,0.015,0.000630957344480193,5.9,0.12,0.135,0.97,0.65,0.92,1.0,0.08,0.4,3.0,10.0,0.65,0.35,0.25,4.5,2.3
