LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
-6033.328768342347,0.0425,0.003981071705534973,3.5,0.195,0.17,0.95,0.7,0.97,0.8,0.06,0.45,0.5,6.0,0.55,0.2,0.15,5.4,1.9
-6034.882051801503,0.0275,0.003981071705534973,4.9,0.155,0.185,0.98,0.6,0.92,1.0,0.06,0.4,1.25,6.0,0.7,0.3,0.2,4.7,2.1
